Id,variables,coefficients
252,CentralAir_Y,0.0
253,CentralAir_N,0.0
254,BsmtUnfSF,0.0
256,BsmtQual_None,0.0
257,BsmtQual_Gd,0.0
239,Condition2_PosA,0.0
274,BsmtFinType1_BLQ,0.0
275,BsmtFinType1_ALQ,0.0
230,Electrical_SBrkr,0.0
222,ExterQual_Fa,0.0
285,BsmtCond_None,0.0
284,BsmtCond_Po,0.0
258,BsmtQual_Fa,0.0
225,ExterCond_Po,0.0
226,ExterCond_Gd,0.0
227,ExterCond_Fa,0.0
228,ExterCond_Ex,0.0
283,BsmtCond_TA,0.0
231,Electrical_Mix,0.0
276,BsmtFinSF2,0.0
232,Electrical_FuseP,0.0
233,Electrical_FuseF,0.0
234,Electrical_FuseA,0.0
235,Condition2_RRNn,0.0
236,Condition2_RRAn,0.0
282,BsmtExposure_Av,0.0
280,BsmtExposure_Mn,0.0
237,Condition2_RRAe,0.0
278,BsmtExposure_None,0.0
248,Condition1_PosA,0.0
0,YrSold,0.0
186,Fence_MnPrv,0.0
185,Fence_MnWw,0.0
53,Neighborhood_SawyerW,0.0
54,Neighborhood_Sawyer,0.0
55,Neighborhood_SWISU,0.0
56,Neighborhood_OldTown,0.0
63,Neighborhood_MeadowV,0.0
64,Neighborhood_IDOTRR,0.0
65,Neighborhood_Gilbert,0.0
68,Neighborhood_CollgCr,0.0
69,Neighborhood_ClearCr,0.0
71,Neighborhood_BrDale,0.0
72,Neighborhood_Blueste,0.0
73,Neighborhood_Blmngtn,0.0
75,MiscVal,0.0
76,MiscFeature_TenC,0.0
77,MiscFeature_Shed,0.0
78,MiscFeature_Othr,0.0
79,MiscFeature_None,0.0
80,MiscFeature_Gar2,0.0
81,MasVnrType_Stone,0.0
82,MasVnrType_None,0.0
87,MSZoning_RL,0.0
88,MSZoning_RH,0.0
93,LotShape_Reg,0.0
94,LotShape_IR3,0.0
96,LotShape_IR1,0.0
50,Neighborhood_Timber,0.0
48,OpenPorchSF,0.0
45,PavedDrive_N,0.0
26,RoofStyle_Hip,0.0
9,SaleType_WD,0.0
10,SaleType_Oth,0.0
11,SaleType_New,0.0
12,SaleType_ConLw,0.0
13,SaleType_ConLI,0.0
14,SaleType_ConLD,0.0
16,SaleType_CWD,0.0
17,SaleType_COD,0.0
19,SaleCondition_Normal,0.0
22,SaleCondition_AdjLand,0.0
24,RoofStyle_Shed,0.0
27,RoofStyle_Gambrel,0.0
44,PavedDrive_P,0.0
29,RoofStyle_Flat,0.0
31,RoofMatl_WdShake,0.0
32,RoofMatl_Tar&Grv,0.0
33,RoofMatl_Roll,0.0
34,RoofMatl_Metal,0.0
35,RoofMatl_Membran,0.0
36,RoofMatl_CompShg,0.0
38,PoolQC_None,0.0
39,PoolQC_Gd,0.0
40,PoolQC_Fa,0.0
43,PavedDrive_Y,0.0
97,LotFrontage,0.0
98,LotConfig_Inside,0.0
102,LotConfig_Corner,0.0
168,Functional_Maj2,0.0
148,GarageQual_Gd,0.0
151,GarageFinish_Unf,0.0
152,GarageFinish_RFn,0.0
154,GarageFinish_Fin,0.0
155,GarageCond_TA,0.0
156,GarageCond_Po,0.0
158,GarageCond_Gd,0.0
159,GarageCond_Fa,0.0
165,Functional_Mod,0.0
166,Functional_Min2,0.0
167,Functional_Min1,0.0
169,Functional_Maj1,0.0
145,GarageQual_TA,0.0
172,Foundation_Stone,0.0
173,Foundation_Slab,0.0
175,Foundation_CBlock,0.0
176,Foundation_BrkTil,0.0
178,FireplaceQu_TA,0.0
179,FireplaceQu_Po,0.0
180,FireplaceQu_None,0.0
181,FireplaceQu_Gd,0.0
182,FireplaceQu_Fa,0.0
183,FireplaceQu_Ex,0.0
184,Fence_None,0.0
146,GarageQual_Po,0.0
143,GarageType_Attchd,0.0
104,LandSlope_Sev,0.0
123,HouseStyle_1.5Fin,0.0
106,LandSlope_Gtl,0.0
107,LandContour_Lvl,0.0
108,LandContour_Low,0.0
112,KitchenQual_Gd,0.0
113,KitchenQual_Fa,0.0
116,HouseStyle_SLvl,0.0
118,HouseStyle_2Story,0.0
119,HouseStyle_2.5Unf,0.0
120,HouseStyle_2.5Fin,0.0
121,HouseStyle_1Story,0.0
122,HouseStyle_1.5Unf,0.0
124,Heating_Wall,0.0
142,GarageType_Basment,0.0
126,Heating_Grav,0.0
127,Heating_GasW,0.0
128,Heating_GasA,0.0
129,Heating_Floor,0.0
130,HeatingQC_TA,0.0
131,HeatingQC_Po,0.0
133,HeatingQC_Fa,0.0
135,HalfBath,0.0
137,GarageYrBlt,0.0
139,GarageType_Detchd,0.0
140,GarageType_CarPort,0.0
299,1stFlrSF,0.0
